scientific_name,class,order,family,family_common,wikipedia_url,inaturalist_url
Abavorana luctuosa,Amphibia,Anura,Ranidae,,https://en.wikipedia.org/wiki/Abavorana_luctuosa,https://www.inaturalist.org/taxa/476485
Abeillia abeillei,Aves,Apodiformes,Trochilidae,,https://en.wikipedia.org/wiki/Abeillia_abeillei,https://www.inaturalist.org/taxa/6028
Abroscopus albogularis,Aves,Passeriformes,Cettiidae,,https://en.wikipedia.org/wiki/Abroscopus_albogularis,https://www.inaturalist.org/taxa/116786
Abroscopus schisticeps,Aves,Passeriformes,Cettiidae,,https://en.wikipedia.org/wiki/Abroscopus_schisticeps,https://www.inaturalist.org/taxa/116787
Abroscopus superciliaris,Aves,Passeriformes,Cettiidae,,https://en.wikipedia.org/wiki/Abroscopus_superciliaris,https://www.inaturalist.org/taxa/116788
Aburria aburri,Aves,Galliformes,Cracidae,,https://en.wikipedia.org/wiki/Aburria_aburri,https://www.inaturalist.org/taxa/2103
Acanthagenys rufogularis,Aves,Passeriformes,Meliphagidae,,https://en.wikipedia.org/wiki/Acanthagenys_rufogularis,https://www.inaturalist.org/taxa/12677
Acanthidops bairdi,Aves,Passeriformes,Thraupidae,,https://en.wikipedia.org/wiki/Acanthidops_bairdi,https://www.inaturalist.org/taxa/10583
Acanthinodera cumingii,Insecta,Coleoptera,Cerambycidae,,https://en.wikipedia.org/wiki/Acanthinodera_cumingii,https://www.inaturalist.org/taxa/556670
Acanthis cabaret,Aves,Passeriformes,Fringillidae,,https://en.wikipedia.org/wiki/Acanthis_cabaret,https://www.inaturalist.org/taxa/145301
Acanthis flammea,Aves,Passeriformes,Fringillidae,,https://en.wikipedia.org/wiki/Acanthis_flammea,https://www.inaturalist.org/taxa/145300
Acanthis hornemanni,Aves,Passeriformes,Fringillidae,,https://en.wikipedia.org/wiki/Acanthis_hornemanni,https://www.inaturalist.org/taxa/145302
Acanthisitta chloris,Aves,Passeriformes,Acanthisittidae,,https://en.wikipedia.org/wiki/Acanthisitta_chloris,https://www.inaturalist.org/taxa/7254
Acanthiza apicalis,,,,,https://en.wikipedia.org/wiki/Acanthiza_apicalis,https://www.inaturalist.org/taxa/72439
Acanthiza chrysorrhoa,,,,,https://en.wikipedia.org/wiki/Acanthiza_chrysorrhoa,https://www.inaturalist.org/taxa/13469
Acanthiza cinerea,,,,,https://en.wikipedia.org/wiki/Acanthiza_cinerea,https://www.inaturalist.org/taxa/544593
Acanthiza ewingii,,,,,https://en.wikipedia.org/wiki/Acanthiza_ewingii,https://www.inaturalist.org/taxa/13465
Acanthiza inornata,,,,,https://en.wikipedia.org/wiki/Acanthiza_inornata,https://www.inaturalist.org/taxa/13466
Acanthiza iredalei,,,,,https://en.wikipedia.org/wiki/Acanthiza_iredalei,https://www.inaturalist.org/taxa/13472
Acanthiza katherina,,,,,https://en.wikipedia.org/wiki/Acanthiza_katherina,https://www.inaturalist.org/taxa/13474
Acanthiza lineata,,,,,https://en.wikipedia.org/wiki/Acanthiza_lineata,https://www.inaturalist.org/taxa/13467
