scientific_name,locale,common_name
Accipiter badius,af,Gebande sperwer
Accipiter melanoleucus,af,Swartsperwer
Accipiter minullus,af,Kleinsperwer
Accipiter ovampensis,af,Ovambosperwer
Accipiter rufiventris,af,Rooiborssperwer
Accipiter tachiro,af,Afrikaanse sperwer
Achaetops pycnopygius,af,Rotsvoël
Acinonyx jubatus,af,Jagluiperd
Acridotheres tristis,af,Indiese spreeu
Acrocephalus arundinaceus,af,Grootrietsanger
Acrocephalus baeticatus,af,Kleinrietsanger
Acrocephalus gracilirostris,af,Kaapse rietsanger
Acrocephalus griseldis,af,Barsarietsanger
Acrocephalus palustris,af,Europese rietsanger
Acrocephalus rufescens,af,Rooibruinrietsanger
Acrocephalus schoenobaenus,af,Europese vleisanger
Acrocephalus scirpaceus,af,Hermanse rietsanger
Actitis hypoleucos,af,Gewone ruiter
Actophilornis africanus,af,Grootlangtoon
Aegypius monachus,af,Eurasiese swartaasvoël
Aenigmatolimnas marginalis,af,Gestreepte riethaan
Aepyceros melampus,af,Rooibok
Aerospiza tachiro,af,Afrikaanse Sperwer
Afrotis afra,af,Swartvlerkkorhaan
Afrotis afraoides,af,Witvlerkkorhaan
Agapornis lilianae,af,Njassaparkiet
Agapornis nigrigenis,af,Swartwangparkiet
Agapornis roseicollis,af,Rooiwangparkiet
Agricola infuscatus,af,Grootvlieëvanger
Ailuropoda melanoleuca,af,panda
Ailurus fulgens,af,Rooi panda
Aix galericulata,af,Mandaryneend
Alcedo atthis,af,Eurasiese visvanger
Alcedo semitorquata,af,Blouvisvanger
Alectoris chukar,af,Asiatiese patrys
Alopochen aegyptiaca,af,Kolgans
Amadina erythrocephala,af,Rooikopvink
Amadina fasciata,af,Bandkeelvink
Amandava subflava,af,Rooiassie
Amblyospiza albifrons,af,Dikbekwewer
Ammomanopsis grayi,af,Namiblewerik
Anaplectes rubriceps,af,Rooikopwewer
Anarhynchus alexandrinus,af,Bleekstrandkiewiet
Anarhynchus asiaticus,af,Asiatiese strandkiewiet
Anarhynchus leschenaultii,af,Grootstrandkiewiet
Anarhynchus marginatus,af,Vaalstrandkiewiet
Anarhynchus pallidus,af,Rooibandstrandkiewiet
Anas acuta,af,Pylsterteend
Anas capensis,af,Teeleend
Anas eatoni,af,Eaton se pylsterteend
Anas erythrorhyncha,af,Rooibekeend
Anas platyrhynchos,af,Groenkopeend
Anas sparsa,af,Swarteend
Anas undulata,af,Geelbekeend
Anastomus lamelligerus,af,Oopbekooievaar
Andropadus importunus,af,Gewone willie
Anhinga anhinga,af,Amerikaanse slanghalsvoël
Anhinga rufa,af,Slanghalsvoël
Anhydrophryne ngongoniensis,af,Misbeltkwetterpadda
Anomalospiza imberbis,af,Koekoekvink
Anous stolidus,af,Grootbruinsterretjie
Anous tenuirostris,af,Kleinbruinsterretjie
Anser albifrons,af,Blesgans
Anser anser,af,Grysgans
Anser canagicus,af,Keisergans
Anser indicus,af,Bandkopgans
Anthobaphes violacea,af,Oranjeborssuikerbekkie
Anthoscopus caroli,af,Gryskapokvoël
Anthoscopus minutus,af,Kaapse kapokvoël
Anthreptes longuemarei,af,Blousuikerbekkie
Anthreptes reichenowi,af,Bloukeelsuikerbekkie
Anthropoides paradiseus,af,Bloukraanvoël
Anthus brachyurus,af,Kortstertkoester
Anthus caffer,af,Bosveldkoester
Anthus cervinus,af,Rooikeelkoester
Anthus cinnamomeus,af,Gewone koester
Anthus crenatus,af,Klipkoester
Anthus hoeschi,af,Bergkoester
Anthus leucophrys,af,Donkerkoester
Anthus lineiventris,af,Gestreepte koester
Anthus nicholsoni,af,Nicholsonse koester
Anthus nyassae,af,Boskoester
Anthus similis,af,Langbekkoester
Anthus trivialis,af,Boomkoester
Anthus vaalensis,af,Vaalkoester
Antigone antigone,af,Saruskraanvoël
